PC: 80020000 | Instr: 00f46433 | rs1_d: 0156ff76 | rs2_d: de000000 | alu_res: df56ff76 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 00f | csr_wdata: 0156ff76 | mscratch: 00000000
PC: 80020004 | Instr: 01941793 | rs1_d: df56ff76 | rs2_d: fab7fbb6 | alu_res: ec000000 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 019 | csr_wdata: df56ff76 | mscratch: 00000000
PC: 80020008 | Instr: 00745493 | rs1_d: df56ff76 | rs2_d: ab7fbb6f | alu_res: 01beadfe | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 007 | csr_wdata: df56ff76 | mscratch: 00000000
PC: 8002000c | Instr: 00f4e4b3 | rs1_d: 01beadfe | rs2_d: ec000000 | alu_res: edbeadfe | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 00f | csr_wdata: 01beadfe | mscratch: 00000000
PC: 80020010 | Instr: 01949793 | rs1_d: edbeadfe | rs2_d: fab7fbb6 | alu_res: fc000000 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 019 | csr_wdata: edbeadfe | mscratch: 00000000
PC: 80020014 | Instr: 0074d513 | rs1_d: edbeadfe | rs2_d: ab7fbb6f | alu_res: 01db7d5b | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 007 | csr_wdata: edbeadfe | mscratch: 00000000
PC: 80020018 | Instr: 00f56533 | rs1_d: 01db7d5b | rs2_d: fc000000 | alu_res: fddb7d5b | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 00f | csr_wdata: 01db7d5b | mscratch: 00000000
PC: 8002001c | Instr: 01951793 | rs1_d: fddb7d5b | rs2_d: fab7fbb6 | alu_res: b6000000 | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 019 | csr_wdata: fddb7d5b | mscratch: 00000000
PC: 80020020 | Instr: 00755593 | rs1_d: fddb7d5b | rs2_d: ab7fbb6f | alu_res: 01fbb6fa | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 007 | csr_wdata: fddb7d5b | mscratch: 00000000
PC: 80020024 | Instr: 00f5e5b3 | rs1_d: 01fbb6fa | rs2_d: b6000000 | alu_res: b7fbb6fa | mem_w: 0 | reg_w: 1 | csr_w: 0 | csr_op: 00 | csr_addr: 00f | csr_wdata: 01fbb6fa | mscratch: 00000000
