Info: [VCS_SAVE_RESTORE_INFO] ASLR (Address Space Layout Randomization) is detected on the machine. To enable $save functionality, ASLR will be switched off and simv re-executed.
Please use '-no_save' simv switch to avoid re-execution or '-suppress=ASLR_DETECTED_INFO' to suppress this message.
Chronologic VCS simulator copyright 1991-2025
Contains Synopsys proprietary information.
Compiler version X-2025.06-SP2_Full64; Runtime version X-2025.06-SP2_Full64;  May 21 19:04 2026
FP_TRACE PC: 80000c00 | Instr: 0062a027 | rs1: ffffffff7ef8654f | rs2: ffffffff7ef8654f | rs3: 0000000000000000 | alu_res: ffffffff7f78654f | fflags: 00000
FP_TRACE PC: 80000c3c | Instr: 0001a987 | rs1: ffffffffa82f25e1 | rs2: 0000000000000000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 00000
FP_TRACE PC: 80000c44 | Instr: 0001ad07 | rs1: ffffffffa82f25e1 | rs2: 0000000000000000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 00000
FP_TRACE PC: 80000c4c | Instr: 0001a387 | rs1: ffffffffa82f25e1 | rs2: 0000000000000000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 00000
FP_TRACE PC: 80000c58 | Instr: 39a9b743 | rs1: ffffffffbfc00000 | rs2: ffffffff26e1cc0b | rs3: ffffffff7ef8654f | alu_res: ffffffff7ef8654f | fflags: 00001
FP_TRACE PC: 80000c80 | Instr: 00e2a027 | rs1: ffffffff7ef8654f | rs2: ffffffff7ef8654f | rs3: 0000000000000000 | alu_res: ffffffff7f78654f | fflags: 00000
FP_TRACE PC: 80000cbc | Instr: 0001a187 | rs1: ffffffffa82f25e1 | rs2: 0000000000000000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 00000
FP_TRACE PC: 80000cc4 | Instr: 0001ac07 | rs1: ffffffffbfc00000 | rs2: 0000000000000000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 00000
FP_TRACE PC: 80000ccc | Instr: 0001ad87 | rs1: ffffffffbfc00000 | rs2: 0000000000000000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 00000
FP_TRACE PC: 80000cdc | Instr: d981fec3 | rs1: ffffffffbfc00000 | rs2: ffffffff3c63a65f | rs3: ffffffff813d9ab0 | alu_res: ffffffffbcaabcc7 | fflags: 00001
FP_TRACE PC: 80000d00 | Instr: 01d2a027 | rs1: ffffffff7ef8654f | rs2: ffffffffbcaabcc7 | rs3: 0000000000000000 | alu_res: ffffffff7ef8654f | fflags: 00001
FP_TRACE PC: 80000d40 | Instr: 0001a187 | rs1: ffffffffbfc00000 | rs2: 0000000000000000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 00000
FP_TRACE PC: 80000d48 | Instr: 0001ad87 | rs1: ffffffffbfc00000 | rs2: 0000000000000000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 00000
FP_TRACE PC: 80000d50 | Instr: 0001a087 | rs1: ffffffffbfc00000 | rs2: 0000000000000000 | rs3: 0000000000000000 | alu_res: ffffffff7fc00000 | fflags: 00000
FP_TRACE PC: 80000d5c | Instr: 09b1a843 | rs1: ffffffffbfc00000 | rs2: ffffffff4d47a80a | rs3: ffffffff813d9ab0 | alu_res: ffffffffcd95be08 | fflags: 00001
